"","year","region","Category","gdp_income_scalingfactor","gdp_percap","Income"
"1676",2060,"Canada","d6",0.0545183790938178,91765.5220701353,5002.90751996174
"1677",2060,"Canada","d7",0.0634395696916546,91765.5220701353,5821.56523265941
"1678",2060,"Canada","d8",0.075048662643006,91765.5220701353,6886.8797081009
"1679",2060,"Canada","d9",0.0922112827802268,91765.5220701353,8461.81650508439
"1680",2060,"Canada","d10",0.143514349013427,91765.5220701353,13169.6691617728
"1681",2065,"Canada","d1",0.0158570509564658,96702.5681997574,1533.41755156466
"1682",2065,"Canada","d2",0.0264877772841677,96702.5681997574,2561.43608928221
"1683",2065,"Canada","d3",0.0336400531990181,96702.5681997574,3253.07953872151
"1684",2065,"Canada","d4",0.0402400753104289,96702.5681997574,3891.31862707013
"1685",2065,"Canada","d5",0.0470149766583156,96702.5681997574,4546.46898671077
"1686",2065,"Canada","d6",0.0545183790938178,96702.5681997574,5272.06727246015
"1687",2065,"Canada","d7",0.0634395696916546,96702.5681997574,6134.76931467049
"1688",2065,"Canada","d8",0.075048662643006,96702.5681997574,7257.39841753587
"1689",2065,"Canada","d9",0.0922112827802268,96702.5681997574,8917.067861842
"1690",2065,"Canada","d10",0.143514349013427,96702.5681997574,13878.2061231147
"1691",2070,"Canada","d1",0.0158570509564658,102297.607998491,1622.13838275663
"1692",2070,"Canada","d2",0.0264877772841677,102297.607998491,2709.63625736712
"1693",2070,"Canada","d3",0.0336400531990181,102297.607998491,3441.29697520153
"1694",2070,"Canada","d4",0.0402400753104289,102297.607998491,4116.46344993601
"1695",2070,"Canada","d5",0.0470149766583156,102297.607998491,4809.51965225057
"1696",2070,"Canada","d6",0.0545183790938178,102297.607998491,5577.0997732525
"1697",2070,"Canada","d7",0.0634395696916546,102297.607998491,6489.71623190982
"1698",2070,"Canada","d8",0.075048662643006,102297.607998491,7677.29867186521
"1699",2070,"Canada","d9",0.0922112827802268,102297.607998491,9432.99365888963
"1700",2070,"Canada","d10",0.143514349013427,102297.607998491,14681.1746175342
"1701",2075,"Canada","d1",0.0158570509564658,108241.351416538,1716.38862500877
"1702",2075,"Canada","d2",0.0264877772841677,108241.351416538,2867.0728092586
"1703",2075,"Canada","d3",0.0336400531990181,108241.351416538,3641.24481998596
"1704",2075,"Canada","d4",0.0402400753104289,108241.351416538,4355.6401327041
"1705",2075,"Canada","d5",0.0470149766583156,108241.351416538,5088.96461031309
"1706",2075,"Canada","d6",0.0545183790938178,108241.351416538,5901.14303015399
"1707",2075,"Canada","d7",0.0634395696916546,108241.351416538,6866.78475670836
"1708",2075,"Canada","d8",0.075048662643006,108241.351416538,8123.36866648284
"1709",2075,"Canada","d9",0.0922112827802268,108241.351416538,9981.07386398432
"1710",2075,"Canada","d10",0.143514349013427,108241.351416538,15534.1870848781
"1711",2080,"Canada","d1",0.0158570509564658,114592.430877476,1817.09801564942
"1712",2080,"Canada","d2",0.0264877772841677,114592.430877476,3035.29878753396
"1713",2080,"Canada","d3",0.0336400531990181,114592.430877476,3854.89547092309
"1714",2080,"Canada","d4",0.0402400753104289,114592.430877476,4611.20804851475
"1715",2080,"Canada","d5",0.0470149766583156,114592.430877476,5387.56046292417
"1716",2080,"Canada","d6",0.0545183790938178,114592.430877476,6247.39358786034
"1717",2080,"Canada","d7",0.0634395696916546,114592.430877476,7269.69450478774
"1718",2080,"Canada","d8",0.075048662643006,114592.430877476,8600.00868636567
"1719",2080,"Canada","d9",0.0922112827802268,114592.430877476,10566.7150481165
"1720",2080,"Canada","d10",0.143514349013427,114592.430877476,16445.6581192471
"1721",2085,"Canada","d1",0.0158570509564658,121278.948994801,1923.12647415718
"1722",2085,"Canada","d2",0.0264877772841677,121278.948994801,3212.40979023223
"1723",2085,"Canada","d3",0.0336400531990181,121278.948994801,4079.83029610611
"1724",2085,"Canada","d4",0.0402400753104289,121278.948994801,4880.27404112047
"1725",2085,"Canada","d5",0.0470149766583156,121278.948994801,5701.92695613563
"1726",2085,"Canada","d6",0.0545183790938178,121278.948994801,6611.93171739837
"1727",2085,"Canada","d7",0.0634395696916546,121278.948994801,7693.88433688632
"1728",2085,"Canada","d8",0.075048662643006,121278.948994801,9101.82292880917
"1729",2085,"Canada","d9",0.0922112827802268,121278.948994801,11183.2874610483
"1730",2085,"Canada","d10",0.143514349013427,121278.948994801,17405.2694140215
"1731",2090,"Canada","d1",0.0158570509564658,128440.718801514,2036.69102292071
"1732",2090,"Canada","d2",0.0264877772841677,128440.718801514,3402.10915383292
"1733",2090,"Canada","d3",0.0336400531990181,128440.718801514,4320.75261340306
"1734",2090,"Canada","d4",0.0402400753104289,128440.718801514,5168.46419749856
